# x l forward_absolute forward_relative backward_absolute backward_relative
0.90 23 2.77555756156289135e-17 1.19863600758858634e-16 1.52242337862040306e-01 6.57464830014745094e-01
0.90 24 0.00000000000000000e+00 0.00000000000000000e+00 7.79562694172248605e-02 4.73100667944403419e-01
0.90 25 6.93889390390722838e-17 1.01490411380286101e-15 5.64110763908062668e-02 8.25085875154233706e-01
0.90 26 1.04083408558608426e-16 2.75787045597633321e-15 4.04844930565858518e-01 1.07270686915549511e+01
0.90 27 1.11022302462515654e-16 8.37824447665850079e-16 1.67947047977486247e-01 1.26740429254162934e+00
0.90 28 8.32667268468867405e-17 4.20813752626627699e-16 8.57971623606909456e-02 4.33602078824458226e-01
0.90 29 2.77555756156289135e-17 1.24978219921690430e-16 1.44507937051275986e-01 6.50692494629963591e-01
0.90 30 0.00000000000000000e+00 0.00000000000000000e+00 1.32172447966220491e-01 6.54927295363840756e-01
0.90 31 2.77555756156289135e-17 1.94797946136236352e-16 6.52265211677158369e-02 4.57781619557843356e-01
0.90 32 7.63278329429795122e-17 1.34007359660707064e-15 5.61642906689124102e-02 9.86066027235443121e-01
0.90 33 1.04083408558608426e-16 2.79829214650287544e-15 3.93721038927595524e-01 1.05852268522092068e+01
0.90 34 1.11022302462515654e-16 9.15649933770414153e-16 1.29697367583135603e-01 1.06967143901371631e+00
0.90 35 1.11022302462515654e-16 6.20239634953987680e-16 8.05993971423938083e-02 4.50278363466549481e-01
0.90 36 1.11022302462515654e-16 5.55551430176817121e-16 1.30628165593810019e-01 6.53658432651558541e-01
0.90 37 8.32667268468867405e-17 4.60819577117819314e-16 1.17851010775841883e-01 6.52217938727124968e-01
0.90 38 2.77555756156289135e-17 2.19611951321815261e-16 5.58714981629452462e-02 4.42075095280260344e-01
0.90 39 0.00000000000000000e+00 0.00000000000000000e+00 5.64964412431316829e-02 1.16448541097915026e+00
0.90 40 2.08166817117216851e-17 5.62804396735341043e-16 3.92902541032087549e-01 1.06225997324459183e+01
0.90 41 2.77555756156289135e-17 2.45410988355226095e-16 1.02341549878217586e-01 9.04889931062233255e-01
0.90 42 2.77555756156289135e-17 1.68168000821226260e-16 7.68060963282692494e-02 4.65359747867541973e-01
0.90 43 5.55111512312578270e-17 3.03072210507574809e-16 1.20204174262742172e-01 6.56274352053669796e-01
0.90 44 8.32667268468867405e-17 5.05724148074071933e-16 1.06910138066471302e-01 6.49323451774051819e-01
0.90 45 6.93889390390722838e-17 6.08764981164923073e-16 4.85240587871397649e-02 4.25712630034092265e-01
0.90 46 3.46944695195361419e-17 8.28616877235272985e-16 5.72120839725796734e-02 1.36641081469156878e+00
0.90 47 0.00000000000000000e+00 0.00000000000000000e+00 4.00479809096518202e-01 1.08257913353785504e+01
0.90 48 4.16333634234433703e-17 3.89489849445046433e-16 8.16548074181717293e-02 7.63899815739114252e-01
0.90 49 8.32667268468867405e-17 5.39977091229815792e-16 7.38994250392382840e-02 4.79230997630305855e-01
0.90 50 8.32667268468867405e-17 4.89695793710579356e-16 1.11988563244687811e-01 6.58610353034013052e-01
0.99 0 0.00000000000000000e+00 0.00000000000000000e+00 0.00000000000000000e+00 0.00000000000000000e+00
0.99 1 0.00000000000000000e+00 0.00000000000000000e+00 6.53299663299663269e-01 6.59898649797639680e-01
0.99 2 1.11022302462515654e-16 1.14438285278065931e-16 7.83260311638555251e-01 8.07360007873581753e-01
0.99 3 2.22044604925031308e-16 2.36029970767959855e-16 8.14249006755177640e-01 8.65534063874926818e-01
